Actual_DO,Actual_pH,Actual_BOD,Predicted_DO,Predicted_pH,Predicted_BOD,Actual_WQI,Predicted_WQI,Actual_Category,Predicted_Category
8.0,8.4,3.6,7.4939914,8.24825,3.802291,72.4,69.30657,Good,Medium
7.9,8.39,3.7,7.7808642,8.218841,3.614654,71.34285714285714,71.9928,Good,Good
7.0,8.36,4.1,7.6853976,8.21798,3.7249842,64.57142857142858,70.85716,Medium,Good
6.5,8.32,4.1,7.0315456,8.178935,4.0085993,62.24285714285714,66.05355,Medium,Medium
6.7,8.2,4.3,6.770754,8.132693,4.0220537,62.557142857142864,64.86705,Medium,Medium
6.9,8.41,4.0,6.703164,8.067416,4.162821,64.45714285714286,63.964252,Medium,Medium
7.1,8.42,3.8,7.0280466,8.207679,4.1049023,66.61428571428571,65.33505,Medium,Medium
6.9,8.44,3.6,7.241214,8.2358465,3.9837503,66.72857142857143,67.00708,Medium,Medium
7.3,8.42,3.5,7.132348,8.231021,3.806163,69.41428571428571,67.54896,Medium,Medium
8.4,8.4,3.3,7.516844,8.263252,3.6916115,76.2,70.020615,Good,Good
8.8,8.4,3.0,8.782432,8.34234,3.5180228,80.0,77.05113,Good,Good
10.2,8.3,2.8,9.275066,8.365681,3.223618,88.62857142857142,81.18071,Good,Good
7.8,8.26,4.1,7.0427103,8.080091,4.042806,69.0,66.32776,Medium,Medium
7.5,8.31,4.4,7.445136,8.102943,4.072763,65.48571428571428,68.0622,Medium,Medium
6.5,8.3,4.0,7.1840296,8.131347,4.2714996,62.92857142857142,65.44252,Medium,Medium
6.1,8.26,4.6,6.7031364,8.078906,3.991131,57.49999999999999,64.945015,Medium,Medium
6.3,8.2,4.6,6.48612,8.041274,4.28216,58.75714285714286,62.275036,Medium,Medium
6.7,8.38,4.3,6.468439,8.01056,4.325181,61.785714285714285,62.060146,Medium,Medium
6.9,8.35,4.1,6.836478,8.160637,4.3289547,64.11428571428571,63.23451,Medium,Medium
6.8,8.34,4.2,6.967266,8.162372,4.1739817,63.05714285714285,64.810844,Medium,Medium
6.9,8.33,4.0,6.8984394,8.154638,4.22953,64.8,64.166565,Medium,Medium
7.9,8.34,3.6,6.978594,8.1538,4.0715814,72.15714285714286,65.51862,Good,Medium
8.1,8.26,3.4,8.158551,8.277331,3.7960837,74.69999999999999,72.541985,Good,Good
9.6,8.17,3.3,8.364334,8.24251,3.586879,83.1857142857143,74.97536,Good,Good
8.5,8.3,2.3,8.282555,8.185209,2.6392343,83.12857142857142,80.49791,Good,Good
7.5,7.94,2.6,8.936899,8.289264,2.4603026,77.87142857142857,84.39726,Good,Good
7.4,7.96,2.7,7.9740453,8.097907,2.6713052,76.68571428571428,79.137085,Good,Good
7.2,7.82,2.8,7.8644676,8.092161,2.7293348,75.68571428571428,78.26564,Good,Good
7.8,7.97,2.6,7.5464664,8.010954,2.8357065,79.24285714285713,76.38544,Good,Good
7.5,7.95,2.5,8.239024,8.124676,2.632153,78.42857142857143,80.58217,Good,Good
7.8,8.15,2.4,7.955495,8.083475,2.635633,79.67142857142856,79.32021,Good,Good
8.0,8.2,2.3,8.315326,8.193136,2.5496616,81.05714285714286,81.16522,Good,Good
8.0,8.14,2.5,8.514063,8.229662,2.4695399,80.11428571428571,82.4831,Good,Good
8.5,8.24,2.3,8.459533,8.200338,2.5488968,83.38571428571429,81.85998,Good,Good
8.7,8.26,2.2,8.991497,8.286805,2.3670828,84.89999999999999,85.240105,Good,Good
8.7,8.25,2.1,9.144756,8.298574,2.2727315,85.54285714285714,86.52207,Good,Good
7.5,7.86,3.2,6.663372,7.7989697,3.7899616,74.61428571428571,67.15293,Good,Medium
7.0,7.89,3.7,7.4772058,7.869966,3.4157019,68.98571428571428,73.16339,Medium,Good
7.0,7.82,3.4,6.8810673,7.853759,3.6697707,71.08571428571427,68.727745,Good,Medium
6.8,7.75,3.5,6.898317,7.8278346,3.536967,69.78571428571429,69.721924,Medium,Medium
7.0,7.86,3.5,6.70553,7.8019757,3.5826702,70.31428571428572,68.59459,Good,Medium
6.7,7.78,3.4,6.919869,7.8363333,3.517181,69.75714285714285,69.91197,Medium,Medium
