Actual_DO,Actual_pH,Actual_BOD,Pred_DO,Pred_pH,Pred_BOD,Actual_WQI,Predicted_WQI,Actual_Class,Predicted_Class
7.3,7.6,1.1,7.1700425,7.5076876,1.3780534,92.0,92.0,Excellent,Excellent
7.5,7.5,1.3,7.150962,7.508527,1.3805722,92.0,92.0,Excellent,Excellent
7.4,7.5,1.2,7.2158594,7.4847083,1.3879914,92.0,92.0,Excellent,Excellent
7.2,7.5,1.2,7.1949387,7.4823365,1.3807158,92.0,92.0,Excellent,Excellent
7.2,7.5,1.1,7.14464,7.488231,1.3932216,92.0,92.0,Excellent,Excellent
7.4,7.6,1.2,7.1398973,7.4894075,1.3844259,92.0,92.0,Excellent,Excellent
7.3,7.6,1.4,7.1912565,7.4964395,1.3758109,92.0,92.0,Excellent,Excellent
8.1,7.5,1.2,7.176372,7.495794,1.4116659,100.0,92.0,Excellent,Excellent
7.2,7.5,1.1,7.3389096,7.473296,1.3496871,92.0,92.0,Excellent,Excellent
7.8,7.5,1.2,7.152928,7.4945717,1.3851249,92.0,92.0,Excellent,Excellent
7.1,7.7,1.2,7.3024607,7.4782987,1.3599,92.0,92.0,Excellent,Excellent
8.1,7.5,1.2,7.1164856,7.5311937,1.4044292,100.0,92.0,Excellent,Excellent
7.3,7.5,1.1,7.3616943,7.479853,1.3513744,92.0,92.0,Excellent,Excellent
8.2,7.5,1.2,7.19737,7.493363,1.3761475,100.0,92.0,Excellent,Excellent
7.2,7.7,1.3,7.402398,7.481057,1.345829,92.0,92.0,Excellent,Excellent
7.2,7.5,1.2,7.1629553,7.5254035,1.4134443,92.0,92.0,Excellent,Excellent
7.0,7.8,1.3,7.181962,7.500863,1.395885,92.0,92.0,Excellent,Excellent
7.3,7.5,1.2,7.096403,7.559669,1.44188,92.0,92.0,Excellent,Excellent
7.1,7.6,1.3,7.2010713,7.502499,1.3909545,92.0,92.0,Excellent,Excellent
8.2,7.6,1.2,7.139387,7.518995,1.4174834,100.0,92.0,Excellent,Excellent
8.2,7.5,1.2,7.3818207,7.510994,1.3519793,100.0,92.0,Excellent,Excellent
